listing_id,url,title,brand,category,condition,size,current_price,group_avg_price,pct_below_avg,days_listed
45274,https://www.vinted.co.uk/items/9819710677-asics-top-size-s?referrer=catalog,ASICS top size S,Asics,activewear,Very good,S,1.0,42.2,97.6,15
437789,https://www.vinted.co.uk/items/9940180229-whismur-supreme-victors-132-non-holo-yuka-morii?referrer=catalog,"Whismur / Supreme Victors / 132 / non holo / Yuka Morii, Brand: Pokémon",,brand_supreme,Satisfactory,,4.0,110.2,96.4,4
49979,https://www.vinted.co.uk/items/9821095061-yellow-and-white-vest?referrer=catalog,Yellow and white Vest,Supreme,brand_supreme,New with tags,S,3.0,80.16,96.3,15
415417,https://www.vinted.co.uk/items/6112778014-supreme-summer-patterned-shirt?referrer=catalog,Supreme summer patterned shirt,Supreme,brand_supreme,Very good,M / UK 12-14,3.0,75.6,96.0,5
349690,https://www.vinted.co.uk/items/9889159173-supreme-fw22-trademark-sticker-rare-mint?referrer=catalog,"Supreme FW22 Trademark Sticker Rare Mint, Brand: Supreme",,brand_supreme,Very good,,3.0,65.86,95.4,9
415435,https://www.vinted.co.uk/items/9898903330-small-navy-bag?referrer=catalog,"Small navy bag, Brand: air suprême",,brand_supreme,Very good,,3.0,65.86,95.4,5
437836,https://www.vinted.co.uk/items/9890031920-10-streetwear-stickers?referrer=catalog,"10 streetwear stickers, Brand: Stickers",,brand_supreme,Very good,,3.0,65.86,95.4,4
665985,https://www.vinted.co.uk/items/9991051527-bibs-supreme-dummies?referrer=catalog,"Bibs supreme dummies, Brand: BIBS",,brand_supreme,Very good,,3.0,65.86,95.4,0
665994,https://www.vinted.co.uk/items/9992215335-supreme-bouncy-ball?referrer=catalog,"Supreme Bouncy Ball, Brand: Supreme",,brand_supreme,Very good,,3.0,65.86,95.4,0
64290,https://www.vinted.co.uk/items/9823505420-supreme-bag?referrer=catalog,"supreme bag, Brand: Supreme",,brand_supreme,Very good,,3.5,65.86,94.7,15
488799,https://www.vinted.co.uk/items/9951073663-x2-keychains?referrer=catalog,"x2 keychains, Brand: Supreme",,brand_supreme,Very good,,3.5,65.86,94.7,3
88883,https://www.vinted.co.uk/items/9831077536-supreme-stickers?referrer=catalog,"Supreme stickers, Brand: Supreme",,brand_supreme,Very good,,4.0,65.86,93.9,14
49656,https://www.vinted.co.uk/items/9779711445-supreme-water-pistol-sticker?referrer=catalog,"Supreme Water Pistol Sticker, Brand: Supreme",,brand_supreme,Very good,,4.0,65.86,93.9,15
273869,https://www.vinted.co.uk/items/7965589038-supreme-shopping-bag?referrer=catalog,"Supreme Shopping Bag, Brand: Supreme",,brand_supreme,Very good,,4.0,65.86,93.9,10
552085,https://www.vinted.co.uk/items/8885514398-football-prints?referrer=catalog,"Football prints, Brand: Supreme",,brand_supreme,Very good,,4.0,65.86,93.9,2
399847,https://www.vinted.co.uk/items/9533785285-1x-supreme-and-1x-palace?referrer=catalog,"1x Supreme and 1x palace, Brand: Supreme",,brand_supreme,Very good,,4.0,65.86,93.9,5
399874,https://www.vinted.co.uk/items/9932580995-supreme-combed-cotton-hand-towels-in-a-turquoise-blue-x-2?referrer=catalog,"Supreme Combed Cotton hand towels in a Turquoise Blue X 2, Brand: Supreme",,brand_supreme,Very good,,4.0,65.86,93.9,5
426908,https://www.vinted.co.uk/items/9937158925-leather-style-waistcoat-unisex?referrer=catalog,Leather style waistcoat unisex,Supreme,brand_supreme,New with tags,S,4.99,80.16,93.8,5
50135,https://www.vinted.co.uk/items/9702567268-supreme-chain?referrer=catalog,"Supreme chain, Brand: Supreme",,brand_supreme,Satisfactory,,7.0,110.2,93.6,15
273890,https://www.vinted.co.uk/items/5478295595-supreme-bag?referrer=catalog,"Supreme bag, Brand: Supreme",,brand_supreme,Good,,3.0,45.77,93.4,10
280758,https://www.vinted.co.uk/items/9869027818-adidas-leggings?referrer=catalog,Adidas Leggings,adidas,activewear,Good,M,2.0,29.55,93.2,10
670388,https://www.vinted.co.uk/items/9981694523-mens-grey-jacket-size-m?referrer=catalog,Men’s grey jacket size m.,,outerwear,Very good,M,1.0,14.74,93.2,0
281194,https://www.vinted.co.uk/items/9739028525,Boden,Boden,womens_jumpers_and_sweaters,Very good,M / UK 12-14,1.5,21.89,93.1,10
676500,https://www.vinted.co.uk/items/9987654408-jeans-jacket?referrer=catalog,Jeans jacket,ASOS,womens_outerwear,Very good,S / UK 8-10,1.0,14.0,92.9,0
396082,https://www.vinted.co.uk/items/9934691879-y2k-hollister-sparkly-long-sleeve?referrer=catalog,Y2k hollister sparkly long sleeve,Hollister,womens_tops_and_tshirts,Very good,XS / UK 4-6,1.0,13.92,92.8,5
662608,https://www.vinted.co.uk/items/9991942578-announcement?referrer=catalog,Announcement !,Zara,womens_outerwear,New without tags,S / UK 8-10,1.0,13.38,92.5,0
126620,https://www.vinted.co.uk/items/9845502445-supreme-bouncy-ball?referrer=catalog,"Supreme Bouncy Ball, Brand: Supreme",,brand_supreme,Very good,,5.0,65.86,92.4,13
399951,https://www.vinted.co.uk/items/9925071523-supreme-toothbrush?referrer=catalog,"Supreme toothbrush, Brand: Supreme",,brand_supreme,Very good,,5.0,65.86,92.4,5
647106,https://www.vinted.co.uk/items/9989324453-zara-black-dress?referrer=catalog,Zara black dress,Zara,womens_dresses,New with tags,M / UK 12-14,1.5,19.78,92.4,0
64494,https://www.vinted.co.uk/items/6679148025-supreme-box-logo-stickers-x5?referrer=catalog,"Supreme box logo stickers x5, Brand: Supreme",,brand_supreme,Very good,,5.0,65.86,92.4,15
615037,https://www.vinted.co.uk/items/9978137562-streetwear-minion-poster?referrer=catalog,"streetwear minion poster, Brand: Supreme",,brand_supreme,Very good,,5.0,65.86,92.4,1
399994,https://www.vinted.co.uk/items/9925804642-supreme-fw22-yamamoto-pumpkin-tekken-graphic-stickers-rare-very-good-condition?referrer=catalog,"Supreme FW22 Yamamoto Pumpkin/ Tekken Graphic Stickers Rare Very Good Condition, Brand: Supreme",,brand_supreme,Very good,,5.0,65.86,92.4,5
407481,https://www.vinted.co.uk/items/9920159908-black-hoodie-size-xl?referrer=catalog,Black hoodie size xl,unknown,jumpers_and_sweaters,Very good,XL,1.0,12.43,92.0,5
392657,https://www.vinted.co.uk/items/9934638050-womens-dress?referrer=catalog,Women's dress,,womens_dresses,New without tags,M / UK 12-14,1.5,18.72,92.0,5
667211,https://www.vinted.co.uk/items/9989509492-mens-adidas-sliders?referrer=catalog,Men’s adidas sliders,adidas,brand_adidas_shoes,New without tags,10,3.0,37.14,91.9,0
646625,https://www.vinted.co.uk/items/9988125916-shein-dress?referrer=catalog,Shein dress,Shein,womens_dresses,Good,L / UK 16-18,1.0,12.0,91.7,0
421909,https://www.vinted.co.uk/items/9935058969-nike-dri-fit-shorts?referrer=catalog,Nike Dri Fit Shorts,Nike,activewear,Very good,S,1.0,12.12,91.7,5
632866,https://www.vinted.co.uk/items/9978774948-glasses?referrer=catalog,"Glasses, Brand: no brand",,activewear,Very good,,1.0,11.93,91.6,0
648996,https://www.vinted.co.uk/items/9986984675-denim-jacket-sale-ps1?referrer=catalog,denim jacket SALE £1,F&F,womens_outerwear,New without tags,M / UK 12-14,1.0,11.77,91.5,0
399916,https://www.vinted.co.uk/items/9932527279-hi-vis-horse-riding-jacket?referrer=catalog,Hi vis horse riding jacket,Supreme,brand_supreme,Very good,S / UK 8-10,5.0,58.44,91.4,5
49766,https://www.vinted.co.uk/items/9635977226-supreme-scratch-off-box-logo-sticker?referrer=catalog,"Supreme Scratch off Box Logo Sticker, Brand: Supreme",,brand_supreme,Good,,4.0,45.77,91.3,15
423181,https://www.vinted.co.uk/items/9936614199-white-long-dress?referrer=catalog,White long dress,,womens_dresses,Very good,Other,2.0,22.92,91.3,5
538469,https://www.vinted.co.uk/items/9949796851-supreme-snoopy-halloween-hoodie?referrer=catalog,Supreme Snoopy Halloween Hoodie,Supreme,brand_supreme_hoodie,New without tags,S / UK 8-10,5.35,61.48,91.3,2
103875,https://www.vinted.co.uk/items/9833834467-supreme-key-chain?referrer=catalog,"Supreme key chain, Brand: Supreme",,brand_supreme,Good,,4.0,45.77,91.3,14
