brand,category,condition,size,sample_size,avg_price,median_price,min_price,max_price,avg_days_listed,avg_days_to_disappear
h&m,brand_hm,very good,s,728,5.88,4.0,3.0,50.0,3.5,5.1
h&m,brand_hm,very good,m,678,6.15,4.0,3.0,70.0,3.4,4.7
bershka,brand_bershka,very good,s,638,7.54,5.0,3.0,60.0,3.6,5.7
nike,brand_nike_hoodie,very good,m,577,9.8,8.0,3.0,49.99,3.5,5.7
nike,brand_nike_hoodie,very good,s,482,9.81,8.0,3.0,59.95,3.4,5.7
nike,brand_nike_tracksuit,very good,m,454,24.3,18.0,3.0,180.0,4.0,5.5
levi's,brand_levis,very good,m,431,10.79,9.0,3.0,55.0,3.6,5.5
nike,brand_nike_t_shirt,very good,m,430,7.13,5.0,3.0,40.0,4.0,5.8
nike,brand_nike_tracksuit,very good,s,406,19.37,15.0,3.0,135.0,3.9,5.9
nike,brand_nike,very good,m,391,8.9,6.0,3.0,75.0,3.1,4.9
ralph lauren,brand_ralph_lauren_shirt,very good,m,370,16.64,15.0,3.0,69.99,3.0,5.4
levi's,brand_levis,very good,s,367,11.22,10.0,3.0,65.0,4.3,5.6
bershka,brand_bershka,very good,m,363,7.81,5.0,3.0,78.0,3.9,5.6
nike,brand_nike_t_shirt,very good,l,358,7.42,5.0,3.0,79.99,3.6,5.8
nike,brand_nike,very good,s,353,7.95,5.0,3.0,75.0,3.1,5.1
nike,brand_nike_hoodie,very good,l,336,11.14,10.0,3.0,79.99,3.6,5.5
adidas,brand_adidas,very good,m,329,10.76,7.5,3.0,60.0,4.1,5.2
bershka,brand_bershka,very good,xs,329,7.56,6.0,3.0,50.0,3.4,5.6
supreme,brand_supreme_shirt,very good,m,320,31.93,25.0,4.0,358.0,6.7,8.0
carhartt,brand_carhartt_jacket,very good,m,299,42.46,38.0,12.99,200.0,4.6,6.5
supreme,brand_supreme_hoodie,very good,m,296,61.46,50.0,13.0,360.0,8.8,8.2
polo ralph lauren,brand_polo_ralph_lauren,very good,m,292,18.75,15.0,3.0,145.0,3.3,6.1
ralph lauren,brand_ralph_lauren_shirt,very good,l,292,16.43,15.0,4.0,60.0,3.0,5.3
carhartt,brand_carhartt_t_shirt,very good,m,285,11.18,10.0,3.0,35.0,4.8,6.2
nike,brand_nike_t_shirt,very good,s,280,6.48,5.0,3.0,38.0,3.5,6.0
ralph lauren,brand_ralph_lauren_polo_shirt,very good,m,271,16.43,13.0,3.0,125.0,3.7,5.7
adidas,brand_adidas_shoes,very good,5,270,24.17,23.5,3.0,65.0,2.7,5.2
adidas,brand_adidas,very good,s,269,9.86,6.0,3.0,85.0,3.6,5.4
nike,brand_nike_tracksuit,very good,l,267,23.73,17.0,3.0,99.99,3.6,5.7
h&m,brand_hm,very good,xs,258,6.66,5.0,3.0,40.0,4.0,5.2
h&m,brand_hm,very good,l,257,6.54,4.0,3.0,75.0,3.2,4.7
palace,brand_palace_shirt,very good,m,251,28.5,20.0,6.0,239.0,8.7,8.2
polo ralph lauren,brand_ralph_lauren_polo_shirt,very good,m,246,13.97,10.49,3.0,85.0,3.8,5.7
ralph lauren,brand_ralph_lauren_shirt,very good,s,245,15.34,13.95,4.0,59.99,3.3,5.4
polo ralph lauren,brand_polo_ralph_lauren,very good,l,242,17.31,12.0,3.0,83.5,3.7,5.8
carhartt,brand_carhartt_jacket,very good,l,241,46.05,40.0,12.0,175.0,4.7,6.5
adidas,brand_adidas_shoes,very good,6,239,23.81,20.0,3.0,70.0,3.0,5.1
ralph lauren,brand_ralph_lauren_polo_shirt,very good,l,233,14.43,12.0,3.0,75.0,3.7,5.9
nike,brand_nike,very good,l,232,10.24,6.22,3.0,85.0,3.2,5.1
levi's,brand_levis,very good,w32,221,13.85,12.0,4.0,55.0,3.3,5.1
adidas,brand_adidas,very good,l,220,12.75,9.99,3.0,84.5,3.6,5.1
carhartt,brand_carhartt_t_shirt,very good,l,220,11.43,10.0,3.0,50.0,3.7,6.3
polo ralph lauren,brand_ralph_lauren_polo_shirt,very good,l,214,13.28,11.0,3.0,70.0,4.0,5.6
polo ralph lauren,brand_polo_ralph_lauren,very good,s,213,18.04,14.95,3.0,79.0,3.1,5.8
levi's,brand_levis,very good,w34,212,14.86,12.0,5.0,100.0,3.0,5.2
zara,womens_skorts,very good,s,209,6.04,5.0,2.0,35.0,5.6,6.2
nike,brand_nike_tech_fleece_hoodie,very good,s,207,19.64,15.0,3.0,120.0,6.6,8.1
nike,brand_nike_hoodie,good,m,205,7.2,5.0,3.0,25.0,4.4,5.9
palace,brand_palace_hoodie,very good,m,203,54.15,42.0,8.0,240.0,9.7,8.3
nike,brand_nike_tech_fleece_hoodie,very good,m,203,21.42,15.0,3.0,115.0,6.7,8.0
nike,brand_nike_tech_fleece_trousers,very good,m,200,15.49,15.0,4.0,50.0,7.6,7.9
levi's,brand_levis,very good,l,198,10.93,8.0,3.0,75.0,3.5,5.6
carhartt,brand_carhartt,very good,m,194,18.79,17.25,5.0,65.0,3.6,6.0
nike,brand_nike_tech_fleece_trousers,very good,s,192,14.46,11.97,3.0,46.0,7.4,7.8
nike,brand_nike_hoodie,very good,xl,189,10.77,10.0,3.0,54.99,3.4,5.5
marks & spencer,womens_jeans,very good,m,188,6.11,5.0,1.0,30.0,2.5,4.8
nike,brand_nike_t_shirt,very good,xl,186,7.2,5.0,3.0,34.99,3.9,5.7
supreme,brand_supreme_hoodie,very good,l,184,68.87,55.12,8.5,260.0,9.5,8.6
zara,womens_skorts,very good,m,183,6.43,5.0,1.0,40.0,4.8,6.4
carhartt,brand_carhartt_t_shirt,very good,s,182,10.77,10.0,3.5,33.0,5.0,6.4
nike,activewear,very good,m,176,11.41,8.0,2.0,65.0,3.7,5.7
adidas,brand_adidas_shoes,very good,7,176,21.77,20.0,3.0,100.0,2.6,5.1
bershka,brand_bershka,new without tags,s,174,9.12,8.0,3.0,40.0,3.4,5.8
supreme,brand_supreme_shirt,very good,l,174,29.51,25.0,4.0,85.0,6.4,8.4
palace,brand_palace_shirt,very good,l,172,29.38,21.5,8.0,150.0,8.6,8.3
h&m,brand_hm,new with tags,s,171,7.87,6.0,3.0,35.0,3.0,5.1
nike,brand_nike_tech_fleece_hoodie,very good,l,169,21.15,17.5,3.95,70.0,6.3,7.7
carhartt,brand_carhartt_jacket,very good,s,168,40.85,35.0,10.0,199.0,3.7,5.9
polo ralph lauren,brand_ralph_lauren_hoodie,very good,m,168,25.43,21.99,7.0,80.0,3.8,6.5
unknown,brand_supreme,new without tags,unknown,167,18.89,8.0,3.0,350.0,4.5,7.1
unknown,brand_supreme,new with tags,unknown,165,27.13,12.0,3.0,550.0,5.2,7.1
polo ralph lauren,brand_ralph_lauren_polo_shirt,very good,s,163,14.16,10.0,3.0,65.0,3.2,5.5
new look,womens_dresses,very good,m,163,3.39,3.0,1.0,15.0,3.2,4.8
ralph lauren,brand_ralph_lauren_shirt,very good,xl,159,17.4,15.0,4.0,55.0,3.8,5.4
