listing_id,url,platform,category,title,current_price,original_price,price_drops,last_price_change,currency,brand,size,condition,imageUrl,first_seen,last_seen,status,date_disappeared,consecutive_misses,sold_price,sold_confirmed_at
1,https://www.vinted.co.uk/items/9809053865-peaceful-hooligan-size-medium?referrer=catalog,Vinted,mens_outerwear,Peaceful hooligan size medium,10.00,10.00,0,,GBP,Peaceful Hooligan,M,Very good,,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,confirmed_sold,2026-08-29T04:59:51.255707+00:00,2,10.00,2026-09-03T10:26:17.250127+00:00
2,https://www.vinted.co.uk/items/9806881473-the-north-face-hyvent-jacket?referrer=catalog,Vinted,mens_outerwear,The North Face hyvent jacket,4.00,4.00,0,,GBP,The North Face,S,Satisfactory,,2026-08-28T19:11:09.775201+00:00,2026-08-28T21:35:08.359714+00:00,confirmed_sold,2026-08-29T12:15:38.059094+00:00,2,4.00,2026-09-03T10:40:03.426839+00:00
4,https://www.vinted.co.uk/items/9807602949-vintage-1990s-nike-half-zip-colour-block-windbreaker-jacket-in-green-and-tan?referrer=catalog,Vinted,mens_outerwear,vintage 1990s Nike half-zip colour-block windbreaker jacket in green and tan,35.00,35.00,0,,GBP,Nike,XL,Very good,,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,confirmed_sold,2026-08-29T04:59:51.255707+00:00,2,30.00,2026-09-03T10:26:26.738070+00:00
6,https://www.vinted.co.uk/items/9806987573-lightweight-waterproof-jacket?referrer=catalog,Vinted,mens_outerwear,Lightweight Waterproof Jacket,10.00,10.00,0,,GBP,Craghoppers,XXL,Very good,,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,confirmed_sold,2026-08-29T04:59:51.255707+00:00,2,10.00,2026-09-03T10:26:36.041604+00:00
8,https://www.vinted.co.uk/items/9808958726-super-dry-mens-jacket?referrer=catalog,Vinted,mens_outerwear,Super dry men’s jacket,11.00,11.00,0,,GBP,Superdry,L,Good,,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,confirmed_sold,2026-08-29T04:59:51.255707+00:00,2,11.00,2026-09-03T10:26:46.538414+00:00
9,https://www.vinted.co.uk/items/9803462122-body-warmer-size-large?referrer=catalog,Vinted,mens_outerwear,Body warmer size large,30.00,30.00,0,,GBP,body warmer,L,New with tags,,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,confirmed_sold,2026-08-29T04:59:51.255707+00:00,2,30.00,2026-09-03T10:26:52.687370+00:00
13,https://www.vinted.co.uk/items/9787194977-nike-gilet?referrer=catalog,Vinted,mens_outerwear,Nike Gilet,10.00,10.00,0,,GBP,Nike,L,Very good,,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,confirmed_sold,2026-08-29T04:59:51.255707+00:00,2,10.00,2026-09-03T10:26:59.421890+00:00
23,https://www.vinted.co.uk/items/9808636293-calvin-klein-mens-shacket-xl-black?referrer=catalog,Vinted,mens_outerwear,Calvin Klein men’s Shacket XL Black,15.00,15.00,0,,GBP,Calvin Klein,XL,Very good,,2026-08-28T19:11:09.775201+00:00,2026-08-29T11:55:47.473346+00:00,confirmed_sold,2026-08-29T16:13:40.094789+00:00,2,15.00,2026-09-03T10:37:30.365963+00:00
25,https://www.vinted.co.uk/items/9806588951-mens-vintage-cashmere-blend-overcoat-large?referrer=catalog,Vinted,mens_outerwear,Men’s Vintage Cashmere Blend Overcoat. Large,20.00,20.00,0,,GBP,Bruce and Borough,L,Very good,,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,confirmed_sold,2026-08-29T15:39:43.342353+00:00,2,20.00,2026-09-03T10:31:16.497740+00:00
28,https://www.vinted.co.uk/items/9804904359-body-warmer-black-size-medium?referrer=catalog,Vinted,mens_outerwear,Body warmer black size medium,30.00,30.00,0,,GBP,body Warner,M,New with tags,,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,confirmed_sold,2026-08-29T04:59:51.255707+00:00,2,30.00,2026-09-03T10:27:16.950535+00:00
