listing_id,old_price,new_price,changed_at
26,22.50,20.00,2026-08-28T21:35:08.359714+00:00
54,6.00,5.00,2026-08-28T21:35:08.359714+00:00
287,5.00,4.00,2026-08-28T21:35:18.893711+00:00
234,17.50,16.00,2026-08-28T21:35:18.893711+00:00
264,7.00,6.50,2026-08-28T21:35:27.580346+00:00
237,30.00,15.00,2026-08-28T21:35:27.580346+00:00
218,30.00,25.00,2026-08-28T21:35:27.580346+00:00
262,20.00,19.50,2026-08-28T21:35:37.766962+00:00
327,28.00,25.00,2026-08-28T21:35:37.766962+00:00
536,24.00,13.00,2026-08-28T21:35:37.766962+00:00
297,12.50,12.00,2026-08-28T21:35:37.766962+00:00
368,50.00,45.00,2026-08-28T21:35:47.369071+00:00
576,18.50,16.50,2026-08-28T21:35:55.114821+00:00
459,28.00,24.00,2026-08-28T21:35:55.114821+00:00
642,25.00,20.00,2026-08-28T21:35:55.114821+00:00
582,15.00,14.00,2026-08-28T21:35:55.114821+00:00
593,65.00,55.00,2026-08-28T21:35:55.114821+00:00
720,15.00,13.00,2026-08-28T21:36:03.828064+00:00
740,80.00,70.00,2026-08-28T21:36:12.004150+00:00
638,25.00,22.00,2026-08-28T21:36:12.004150+00:00
701,19.50,19.00,2026-08-28T21:36:12.004150+00:00
716,52.00,47.00,2026-08-28T21:36:12.004150+00:00
787,45.00,38.00,2026-08-28T21:36:21.895199+00:00
817,34.00,32.50,2026-08-28T21:36:21.895199+00:00
807,20.00,18.00,2026-08-28T21:36:21.895199+00:00
1032,15.00,10.00,2026-08-28T21:36:29.028376+00:00
1066,37.99,37.00,2026-08-28T21:36:41.422077+00:00
1157,10.00,8.00,2026-08-28T21:36:41.422077+00:00
1204,22.00,18.00,2026-08-28T21:36:48.800201+00:00
1277,9.00,8.00,2026-08-28T21:36:58.876533+00:00
1337,60.00,50.00,2026-08-28T21:36:58.876533+00:00
1311,65.00,40.00,2026-08-28T21:36:58.876533+00:00
1276,55.00,50.00,2026-08-28T21:36:58.876533+00:00
1315,17.99,14.99,2026-08-28T21:37:05.634405+00:00
1369,30.00,27.00,2026-08-28T21:37:05.634405+00:00
1404,20.00,18.00,2026-08-28T21:37:05.634405+00:00
2013,10.00,9.00,2026-08-28T21:38:05.141915+00:00
2001,18.00,16.00,2026-08-28T21:38:05.141915+00:00
2083,5.00,4.00,2026-08-28T21:38:05.141915+00:00
2016,8.75,8.45,2026-08-28T21:38:05.141915+00:00
2134,26.50,24.50,2026-08-28T21:38:14.218847+00:00
2164,15.00,12.00,2026-08-28T21:38:14.218847+00:00
2290,5.00,4.00,2026-08-28T21:38:21.459328+00:00
2273,14.99,12.00,2026-08-28T21:38:21.459328+00:00
2514,2.00,4.00,2026-08-28T21:39:00.865118+00:00
2974,55.00,50.00,2026-08-28T21:39:41.310517+00:00
3179,18.00,12.00,2026-08-28T21:39:48.554169+00:00
3183,10.00,7.00,2026-08-28T21:39:57.792326+00:00
3232,23.00,19.00,2026-08-28T21:39:57.792326+00:00
3139,8.00,6.00,2026-08-28T21:39:57.792326+00:00
3236,20.00,18.00,2026-08-28T21:39:57.792326+00:00
3138,6.00,5.00,2026-08-28T21:40:07.277786+00:00
3296,20.00,15.00,2026-08-28T21:40:07.277786+00:00
