listing_id,url,title,brand,category,condition,size,current_price,group_avg_price,estimated_profit,pct_below_avg,group_avg_days_to_disappear,group_sample_size,resale_score
533288,https://www.vinted.co.uk/items/9958944080-blue-berghaus-sports-top?referrer=catalog,Blue berghaus sports top,Berghaus,activewear,Good,L,5.0,57.57,52.57,91.3,4.2,7,82.5
532923,https://www.vinted.co.uk/items/9960874745-mens-adidas-slides?referrer=catalog,Men’s adidas slides,adidas,shoes,Very good,10,4.3,44.02,39.72,90.2,4.8,12,80.1
264668,https://www.vinted.co.uk/items/9841819648-vintage-red-rain-coat-jacket?referrer=catalog,Vintage red rain coat jacket,Vintage,womens_outerwear,Good,M / UK 12-14,5.0,38.33,33.33,87.0,4,6,80.0
549210,https://www.vinted.co.uk/items/9965030337-vintage-stone-rodger-black-biker-jacket?referrer=catalog,Vintage Stone Rodger black biker jacket,Vintage Dressing,womens_outerwear,Very good,M / UK 12-14,7.0,41.9,34.9,83.3,3.7,22,78.2
405284,https://www.vinted.co.uk/items/9884133176-y2k-the-north-face-grey-fleece?referrer=catalog,Y2K The North Face Grey Fleece,The North Face,outerwear,Good,S,5.0,35.2,30.2,85.8,4.4,5,78.1
520295,https://www.vinted.co.uk/items/9956298308-vivienne-westwood-t-shirt?referrer=catalog,Vivienne Westwood t shirt,Vivienne Westwood,tops_and_tshirts,Very good,M,4.5,25.21,20.71,82.1,3.6,7,77.7
545822,https://www.vinted.co.uk/items/9964911909-asics-black-gym-top?referrer=catalog,ASICS black gym top,Asics,activewear,Very good,M,4.5,30.5,26.0,85.2,4.6,9,77.1
395398,https://www.vinted.co.uk/items/9930738128-berthas-ladies-coat-mac?referrer=catalog,Bertha’s ladies coat / mac,Berghaus,womens_outerwear,Very good,L / UK 16-18,10.0,63.67,53.67,84.3,4.4,6,77.0
16570,https://www.vinted.co.uk/items/9811120379-oh-polly-mini-dress?referrer=catalog,Oh Polly mini dress,Oh Polly,womens_dresses,New with tags,M / UK 12-14,4.0,33.43,29.43,88.0,5.4,7,76.9
44875,https://www.vinted.co.uk/items/9821623382-nike-football-boots-size-uk-8?referrer=catalog,Nike football boots size uk 8,Nike,shoes,Very good,8,4.0,30.42,26.42,86.9,5.1,61,76.9
535984,https://www.vinted.co.uk/items/9961489071-hollister-black-puffer-coat?referrer=catalog,Hollister black puffer coat,Hollister,womens_outerwear,Very good,S / UK 8-10,8.5,52.34,43.84,83.8,4.6,12,76.1
545623,https://www.vinted.co.uk/items/9964550179-long-sleeved-asics-top?referrer=catalog,Long sleeved asics top,Asics,activewear,Very good,M,5.0,30.5,25.5,83.6,4.6,9,76.0
390396,https://www.vinted.co.uk/items/9934110673-south-africa-springboks-world-champions-t-shirt?referrer=catalog,South Africa Springboks World Champions T-Shirt,Asics,activewear,Very good,M,5.0,30.5,25.5,83.6,4.6,9,76.0
408677,https://www.vinted.co.uk/items/9935993157-nike-air-jordan-1-mid-sneakers?referrer=catalog,Nike Air Jordan 1 Mid sneakers,Jordan,shoes,Very good,7,9.0,48.8,39.8,81.6,4.1,5,75.9
533468,https://www.vinted.co.uk/items/9945041761-adidas-mens-shorts?referrer=catalog,Adidas men’s shorts,adidas,activewear,Good,M,4.0,23.0,19.0,82.6,4.4,13,75.8
27090,https://www.vinted.co.uk/items/9810276290-adidas-climalite-shorts?referrer=catalog,Adidas Climalite shorts,adidas,activewear,Good,M,4.0,23.0,19.0,82.6,4.4,13,75.8
294559,https://www.vinted.co.uk/items/9880080736-nike-sliders?referrer=catalog,Nike sliders,Nike,shoes,Very good,10,5.0,31.66,26.66,84.2,5.0,44,75.3
498993,https://www.vinted.co.uk/items/9953492331-vintage-crop-checkered-denim-jacket?referrer=catalog,Vintage Crop Checkered Denim Jacket,Vintage Dressing,womens_outerwear,Very good,S / UK 8-10,8.0,38.8,30.8,79.4,3.8,28,75.2
536456,https://www.vinted.co.uk/items/9957851531-cropped-denim-coat?referrer=catalog,Cropped denim coat,Wallis,womens_outerwear,Very good,L / UK 16-18,4.0,16.85,12.85,76.3,3,7,75.2
276936,https://www.vinted.co.uk/items/9874175054-teenage-large-north-face-joggers?referrer=catalog,Teenage large north face joggers,The North Face,trousers,Very good,L,5.0,30.33,25.33,83.5,4.9,6,75.1
17363,https://www.vinted.co.uk/items/9796555578-green-coat?referrer=catalog,Green coat,Miss Selfridge,womens_outerwear,Very good,S / UK 8-10,5.0,26.7,21.7,81.3,4.4,10,74.9
435367,https://www.vinted.co.uk/items/9930085614-miss-selfridge-studded-denim-jacket-size-10?referrer=catalog,Miss Selfridge Studded Denim Jacket – Size 10,Miss Selfridge,womens_outerwear,Very good,S / UK 8-10,4.99,26.7,21.71,81.3,4.4,10,74.9
434944,https://www.vinted.co.uk/items/9939489018,The North Face,The North Face,womens_outerwear,Very good,M / UK 12-14,6.75,37.4,30.65,82.0,4.7,42,74.5
280491,https://www.vinted.co.uk/items/9873699655-boys-trainers?referrer=catalog,Boys trainers,Jordan,shoes,Very good,7,10.0,48.8,38.8,79.5,4.1,5,74.5
545554,https://www.vinted.co.uk/items/9963695531-men-asics-top?referrer=catalog,men asics top,Asics,activewear,Very good,XL,5.0,32.6,27.6,84.7,5.5,5,74.3
269913,https://www.vinted.co.uk/items/9867981309-oliver-bonas-balloon-sleeve-knitted-jumper?referrer=catalog,Oliver bonas balloon sleeve knitted jumper,Oliver Bonas,womens_jumpers_and_sweaters,Very good,S / UK 8-10,4.0,19.67,15.67,79.7,4.2,8,74.3
524891,https://www.vinted.co.uk/items/9958755809-hollister-jacket?referrer=catalog,hollister jacket,Hollister,womens_outerwear,Very good,M / UK 12-14,8.0,53.96,45.96,85.2,5.7,19,74.1
284171,https://www.vinted.co.uk/items/9876512110-hollister-pink-puffer-jacket?referrer=catalog,Hollister pink puffer jacket,Hollister,womens_outerwear,Very good,S / UK 8-10,10.0,52.34,42.34,80.9,4.6,12,74.1
530624,https://www.vinted.co.uk/items/9958778718-the-north-face-mens-quarter-zip-jumper?referrer=catalog,The North Face men's quarter zip jumper,The North Face,outerwear,Very good,S,6.0,38.56,32.56,84.4,5.5,25,74.1
524892,https://www.vinted.co.uk/items/9958003369-poncho?referrer=catalog,Poncho,,womens_outerwear,New without tags,One size,4.0,22.34,18.34,82.1,5.1,10,73.6
385201,https://www.vinted.co.uk/items/9912020598-columbia-fleece?referrer=catalog,Columbia Fleece,Columbia,outerwear,Very good,L,4.75,21.81,17.06,78.2,4.1,23,73.6
523175,https://www.vinted.co.uk/items/9935991533-north-face-hoodie?referrer=catalog,North face hoodie,The North Face,womens_jumpers_and_sweaters,Very good,S / UK 8-10,4.0,13.81,9.81,71.0,2.3,8,73.5
188379,https://www.vinted.co.uk/items/9859001128-puma-golf-slider?referrer=catalog,PUMA Golf slider,Puma,shoes,Very good,7,6.0,21.5,15.5,72.1,2.6,6,73.4
412653,https://www.vinted.co.uk/items/9875723858-indian-bloch-floral-cotton-quilted-reversible-jacket?referrer=catalog,Indian Bloch floral cotton quilted reversible jacket,Vintage Dressing,womens_outerwear,Very good,M / UK 12-14,10.0,41.9,31.9,76.1,3.7,22,73.2
545001,https://www.vinted.co.uk/items/9964441899-adidas-sliders-size-8?referrer=catalog,Adidas sliders size 8,adidas,shoes,Very good,8,4.0,27.59,23.59,85.5,6.1,17,73.2
459266,https://www.vinted.co.uk/items/9946826863-the-north-face-shorts-size-large?referrer=catalog,The north face shorts size large,The North Face,activewear,Very good,L,5.0,25.0,20.0,80.0,4.7,8,73.2
408536,https://www.vinted.co.uk/items/9935839032-nike-mercurial-astros?referrer=catalog,Nike mercurial astros,Nike,shoes,Very good,10,6.0,31.66,25.66,81.0,5.0,44,73.1
434903,https://www.vinted.co.uk/items/9940115190-barbour-quilted-jacket-size-12?referrer=catalog,Barbour Quilted Jacket Size 12,Barbour,womens_outerwear,Very good,M / UK 12-14,10.0,47.46,37.46,78.9,4.5,14,73.0
298947,https://www.vinted.co.uk/items/9880021145,TOG24,TOG24,womens_outerwear,Very good,M / UK 12-14,4.32,16.72,12.4,74.2,3.3,6,72.9
532940,https://www.vinted.co.uk/items/9961589342-nike-trainers-85-blue?referrer=catalog,Nike trainers 8.5 blue,Nike,shoes,Very good,8.5,7.0,35.68,28.68,80.4,4.9,44,72.9
495222,https://www.vinted.co.uk/items/9953562523-nike-sliders?referrer=catalog,Nike sliders,Nike,shoes,New with tags,8,11.0,51.42,40.42,78.6,4.5,12,72.8
226664,https://www.vinted.co.uk/items/9859513676-adidas-set?referrer=catalog,Adidas set,adidas,activewear,Good,M,5.0,23.0,18.0,78.3,4.4,13,72.8
525072,https://www.vinted.co.uk/items/9958526704-soft-shell-jacket?referrer=catalog,Soft shell jacket,Craghoppers,womens_outerwear,Very good,M / UK 12-14,4.0,16.77,12.77,76.1,3.9,11,72.7
545349,https://www.vinted.co.uk/items/9964428372-asics-gt2000-10-trainers-size-9?referrer=catalog,Asics GT2000 10 trainers size 9,Asics,shoes,Good,9,10.0,41.42,31.42,75.9,3.8,12,72.7
291564,https://www.vinted.co.uk/items/9878171591-stone-island-junior-jacket-age-12?referrer=catalog,Stone island junior jacket age 12,Stone Island,outerwear,Very good,L,100.0,351.98,251.98,71.6,2.7,5,72.7
117958,https://www.vinted.co.uk/items/9846979591-mens-adidas-aeroready-tshirt?referrer=catalog,Mens Adidas Aeroready Tshirt,adidas,activewear,Very good,XL,4.0,19.49,15.49,79.5,4.8,40,72.5
545585,https://www.vinted.co.uk/items/9958218108-adidas-sportswear-top?referrer=catalog,Adidas Sportswear Top,adidas,activewear,Very good,XL,4.0,19.49,15.49,79.5,4.8,40,72.5
536302,https://www.vinted.co.uk/items/9959883386-black-denim-bomber-jacket?referrer=catalog,Black denim bomber jacket,Zara,womens_outerwear,Very good,S / UK 8-10,4.0,20.22,16.22,80.2,5.0,98,72.5
20,https://www.vinted.co.uk/items/9797232068-retro-windbreaker?referrer=catalog,Retro windbreaker,,outerwear,Good,M,4.0,26.42,22.42,84.9,6.2,6,72.5
46052,https://www.vinted.co.uk/items/9822063877-phase-eight-womens-purple-and-green-patterned-silk-fit-and-flare-dress,Phase Eight,Phase Eight,womens_dresses,Very good,S / UK 8-10,7.0,38.2,31.2,81.7,5.4,5,72.4
524875,https://www.vinted.co.uk/items/9952703852-womens-coat?referrer=catalog,Women’s coat,Miss Selfridge,womens_outerwear,Very good,S / UK 8-10,6.0,26.7,20.7,77.5,4.4,10,72.3
536440,https://www.vinted.co.uk/items/9955693290-ladies-red-coat-miss-selfridge?referrer=catalog,Ladies red coat  miss Selfridge,Miss Selfridge,womens_outerwear,Very good,S / UK 8-10,6.0,26.7,20.7,77.5,4.4,10,72.3
425078,https://www.vinted.co.uk/items/9935671443-crew-clothing-grandad-collar-shirt-size-16?referrer=catalog,Crew clothing grandad collar shirt size 16,Crew Clothing Company,womens_tops_and_tshirts,Very good,L / UK 16-18,4.0,22.4,18.4,82.1,5.6,5,72.2
17302,https://www.vinted.co.uk/items/8448390856-new-look-dress-size-16-new-with-tags,New Look,New Look,womens_outerwear,New with tags,L / UK 16-18,5.0,20.6,15.6,75.7,4,5,72.1
546023,https://www.vinted.co.uk/items/9964993356-ada-hoodie?referrer=catalog,ADA hoodie,Adanola,womens_jumpers_and_sweaters,Very good,M / UK 12-14,5.0,22.25,17.25,77.5,4.5,6,72.0
189026,https://www.vinted.co.uk/items/9835222535-asics-t-shirt-good-condition-size-l?referrer=catalog,asics t shirt  good condition size L,Asics,activewear,Very good,L,8.0,41.17,33.17,80.6,5.3,12,71.9
545876,https://www.vinted.co.uk/items/9940828660-asics-shirt-sports-tee-size-large?referrer=catalog,ASICS shirt sports tee size large,Asics,activewear,Very good,L,8.05,41.17,33.12,80.4,5.3,12,71.9
390706,https://www.vinted.co.uk/items/9911983972-mens-black-asics-top-size-l-great-condition?referrer=catalog,Mens black Asics top size L great condition,Asics,activewear,Very good,L,8.0,41.17,33.17,80.6,5.3,12,71.9
548725,https://www.vinted.co.uk/items/9962838694-joules-gilet-body-warmer-size-10?referrer=catalog,Joules gilet/ body warmer - size 10,Joules,womens_outerwear,Very good,S / UK 8-10,4.0,18.44,14.44,78.3,4.8,27,71.7
536123,https://www.vinted.co.uk/items/9960156867-grey-knitted-poncho-wrap?referrer=catalog,Grey knitted poncho / wrap,Marks & Spencer,womens_outerwear,New with tags,M / UK 12-14,7.0,32.16,25.16,78.2,4.8,6,71.7
255992,https://www.vinted.co.uk/items/9870586849,Vintage Dressing,Vintage Dressing,womens_outerwear,Very good,S / UK 8-10,10.0,38.8,28.8,74.2,3.8,28,71.6
261350,https://www.vinted.co.uk/items/9866467430-zara-gilet-size-medium?referrer=catalog,Zara gilet size medium,Zara,outerwear,Very good,M,4.0,16.66,12.66,76.0,4.3,42,71.5
404914,https://www.vinted.co.uk/items/9935621066-zara-gilet?referrer=catalog,Zara gilet,Zara,outerwear,Very good,M,4.0,16.66,12.66,76.0,4.3,42,71.5
533575,https://www.vinted.co.uk/items/9954609204-montirex-t-shirt-in-pink-with-cube-pattern?referrer=catalog,Montirex t shirt in pink with cube pattern,Montirex,activewear,Very good,S,4.7,20.62,15.92,77.2,4.6,31,71.5
524947,https://www.vinted.co.uk/items/9869234351-hollister-black-sherpa-lined-cropped-denim-trucker-jacket-xs-excellent-condition?referrer=catalog,Hollister Black Sherpa Lined cropped Denim Trucker Jacket XS Excellent Condition,Hollister,womens_outerwear,Very good,XS / UK 4-6,10.0,43.61,33.61,77.1,4.6,7,71.4
281803,https://www.vinted.co.uk/items/9876708505-boden-jumper-uk14?referrer=catalog,Boden jumper Uk14,Boden,womens_jumpers_and_sweaters,Very good,M / UK 12-14,6.5,25.75,19.25,74.8,4.0,8,71.4
539712,https://www.vinted.co.uk/items/9961080695-ralph-lauren-jumper?referrer=catalog,Ralph Lauren jumper,Polo Ralph Lauren,jumpers_and_sweaters,Very good,L,10.0,35.22,25.22,71.6,3.2,9,71.4
391056,https://www.vinted.co.uk/items/9922612740-berghaus-green-top-aged-13?referrer=catalog,Berghaus green top aged 13,Berghaus,activewear,Very good,L,6.0,24.11,18.11,75.1,4.1,18,71.4
521030,https://www.vinted.co.uk/items/9957591160-ralph-lauren-black-jumper-m?referrer=catalog,Ralph lauren black jumper M,Ralph Lauren,jumpers_and_sweaters,Very good,M,9.0,34.17,25.17,73.7,3.8,20,71.2
525090,https://www.vinted.co.uk/items/9957618651-womens-north-face-fleece-size-medium?referrer=catalog,Women’s north face fleece size medium,The North Face,womens_outerwear,Good,M / UK 12-14,5.0,20.18,15.18,75.2,4.2,11,71.2
412417,https://www.vinted.co.uk/items/9928796688-berghaus-womens-fleece-jacket-size-14?referrer=catalog,Berghaus women’s fleece jacket size 14,Berghaus,womens_outerwear,Very good,M / UK 12-14,5.0,22.74,17.74,78.0,5.0,13,71.0
412000,https://www.vinted.co.uk/items/9703678306,Wallis,Wallis,womens_outerwear,Very good,L / UK 16-18,5.0,16.85,11.85,70.3,3,7,71.0
544377,https://www.vinted.co.uk/items/9964286362-beautiful-jumper?referrer=catalog,Beautiful jumper,Tommy Hilfiger,jumpers_and_sweaters,Very good,M,4.0,17.65,13.65,77.3,4.8,30,71.0
546589,https://www.vinted.co.uk/items/9964064018-river-island-denim-waistcoat?referrer=catalog,River island denim waistcoat,River Island,womens_jumpers_and_sweaters,New with tags,M / UK 12-14,6.0,35.6,29.6,83.1,6.3,5,71.0
533484,https://www.vinted.co.uk/items/9956962867-castore-blue-t-shirt?referrer=catalog,Castore blue t-shirt,Castore,activewear,New without tags,M,4.0,14.0,10.0,71.4,3.3,5,71.0
285310,https://www.vinted.co.uk/items/9874682127-abercrombie-pinstriped-shirt?referrer=catalog,Abercrombie pinstriped shirt,Abercrombie & Fitch,womens_tops_and_tshirts,Very good,S / UK 8-10,4.0,18.38,14.38,78.2,5.1,8,70.9
283876,https://www.vinted.co.uk/items/9335833211,Zara,Zara,womens_outerwear,Very good,L / UK 16-18,4.0,18.46,14.46,78.3,5.1,37,70.9
44820,https://www.vinted.co.uk/items/9822300265-nike-trainers?referrer=catalog,nike trainers,Nike,shoes,Good,9,4.0,19.15,15.15,79.1,5.3,20,70.9
541788,https://www.vinted.co.uk/items/9963963213-uniqlo-ultra-light-gilet-navy-size-l?referrer=catalog,Uniqlo ultra light gilet Navy size L,Uniqlo,outerwear,New without tags,M,8.0,24.8,16.8,67.7,2.4,5,70.9
549732,https://www.vinted.co.uk/items/9963627874-abercrombie-fitch-blue-halterneck-top?referrer=catalog,Abercrombie & Fitch Blue Halterneck Top,Abercrombie & Fitch,womens_tops_and_tshirts,Very good,S / UK 8-10,4.0,18.38,14.38,78.2,5.1,8,70.9
532942,https://www.vinted.co.uk/items/9961623404-nike-trainers-85-really-good?referrer=catalog,Nike trainers 8.5 really good,Nike,shoes,Very good,8.5,8.0,35.68,27.68,77.6,4.9,44,70.9
523553,https://www.vinted.co.uk/items/9953867566-emerald-green-sequin-ruched-cowl-neck-maxi-dress-strappy-glam-eveningparty-dress?referrer=catalog,Emerald Green Sequin Ruched Cowl Neck Maxi Dress – Strappy Glam Evening/Party Dress,Quiz,womens_dresses,New without tags,M / UK 12-14,5.0,25.67,20.67,80.5,5.7,6,70.8
524707,https://www.vinted.co.uk/items/9957888034-white-northface-jacket?referrer=catalog,White Northface jacket,The North Face,womens_outerwear,Very good,S / UK 8-10,10.0,42.76,32.76,76.6,4.7,51,70.8
525060,https://www.vinted.co.uk/items/9955450794-north-face-body-warmer-size-small?referrer=catalog,North Face body warmer size small,The North Face,womens_outerwear,Very good,S / UK 8-10,10.0,42.76,32.76,76.6,4.7,51,70.8
412223,https://www.vinted.co.uk/items/9932276513-leather-jacket-zara-xss?referrer=catalog,Leather jacket Zara xs/s,Zara,womens_outerwear,Very good,S / UK 8-10,4.5,20.22,15.72,77.7,5.0,98,70.8
424531,https://www.vinted.co.uk/items/9929856780-north-face-polo-fleece?referrer=catalog,North Face polo fleece,The North Face,womens_outerwear,Very good,S / UK 8-10,10.0,42.76,32.76,76.6,4.7,51,70.8
298487,https://www.vinted.co.uk/items/9878113626-north-face-black-girls-fleece?referrer=catalog,North Face Black Girls Fleece,The North Face,womens_outerwear,Very good,S / UK 8-10,10.0,42.76,32.76,76.6,4.7,51,70.8
409132,https://www.vinted.co.uk/items/9929054691-adidas-shorts?referrer=catalog,Adidas shorts,adidas,activewear,Very good,XL,4.5,19.49,14.99,76.9,4.8,40,70.7
61465,https://www.vinted.co.uk/items/9822791771-boden-cotton-dress-18?referrer=catalog,Boden cotton dress - 18,Boden,womens_dresses,Very good,L / UK 16-18,4.0,17.6,13.6,77.3,4.9,5,70.7
522276,https://www.vinted.co.uk/items/9957886263-montirex-14-zip?referrer=catalog,Montirex 1/4 zip,Montirex,activewear,Very good,S,5.0,20.62,15.62,75.8,4.6,31,70.5
262955,https://www.vinted.co.uk/items/9869295812-montrex-shorts?referrer=catalog,montrex shorts,Montirex,activewear,Very good,S,5.0,20.62,15.62,75.8,4.6,31,70.5
409156,https://www.vinted.co.uk/items/9935196720-montirex-14-zip?referrer=catalog,Montirex 1/4 zip,Montirex,activewear,Very good,S,5.0,20.62,15.62,75.8,4.6,31,70.5
409077,https://www.vinted.co.uk/items/9935713643-montirex-shorts-size-mens-small?referrer=catalog,Montirex shorts (size men’s small),Montirex,activewear,Very good,S,5.0,20.62,15.62,75.8,4.6,31,70.5
409145,https://www.vinted.co.uk/items/9919288302-mens-small-sports-top?referrer=catalog,Mens small Sports top,Montirex,activewear,Very good,S,5.0,20.62,15.62,75.8,4.6,31,70.5
27576,https://www.vinted.co.uk/items/9813567915-montirex-t-shirt-size-small?referrer=catalog,Montirex t-shirt size small,Montirex,activewear,Very good,S,5.0,20.62,15.62,75.8,4.6,31,70.5
533568,https://www.vinted.co.uk/items/9958005383-montirex-shorts?referrer=catalog,Montirex shorts,Montirex,activewear,Very good,S,5.0,20.62,15.62,75.8,4.6,31,70.5
542714,https://www.vinted.co.uk/items/9964056414-levis-jeans?referrer=catalog,Levi’s jeans,Levi's,jeans,Very good,W34,4.99,20.15,15.16,75.2,4.5,61,70.4
280063,https://www.vinted.co.uk/items/9861520746-nike-court-visions-tan-colour-uk-size-8?referrer=catalog,Nike court visions tan colour UK size 8,Nike,shoes,Good,8,4.0,16.83,12.83,76.2,4.8,30,70.3
26304,https://www.vinted.co.uk/items/9814402967-new-balance-327-mens-white-blue-red-suede-sneakers-us-75-uk-7-eur-405?referrer=catalog,New Balance 327 Mens White Blue Red Suede Sneakers US 7.5 UK 7 EUR 40.5,New Balance,shoes,Good,7.5,7.5,20.5,13.0,63.4,1.5,5,70.3
262966,https://www.vinted.co.uk/items/9869533935-monterain-t-shirt?referrer=catalog,Monterain t shirt,Monterrain,activewear,Very good,M,4.0,18.0,14.0,77.8,5.2,16,70.3
279800,https://www.vinted.co.uk/items/9874820385,Wrangler,Wrangler,shorts,Good,W34,4.0,12.22,8.22,67.3,2.5,9,70.3
390038,https://www.vinted.co.uk/items/9933742681-nike-sliders?referrer=catalog,Nike sliders,Nike,shoes,Very good,7,6.0,26.75,20.75,77.6,5.2,69,70.1
26322,https://www.vinted.co.uk/items/9808360737-nike-unisex-flip-flops-uk-8?referrer=catalog,NIKE unisex flip flops UK 8,Nike,shoes,Very good,8,7.0,30.42,23.42,77.0,5.1,61,70.0
541928,https://www.vinted.co.uk/items/9961842764-berghaus-zip-jacket?referrer=catalog,berghaus zip jacket,Berghaus,outerwear,Very good,L,4.5,20.8,16.3,78.4,5.5,18,69.9
542467,https://www.vinted.co.uk/items/9947960857-kids-xl-nike-joggers?referrer=catalog,Kids xl Nike joggers,Nike,trousers,Very good,XL,4.0,15.97,11.97,75.0,4.6,27,69.9
530859,https://www.vinted.co.uk/items/9961171568-nike-tracksuit-bottoms?referrer=catalog,Nike tracksuit bottoms,Nike,trousers,Very good,XL,4.0,15.97,11.97,75.0,4.6,27,69.9
431101,https://www.vinted.co.uk/items/9930396403-quicksilver-tshirt?referrer=catalog,Quicksilver tshirt,Quiksilver,tops_and_tshirts,Very good,XL,4.0,20.33,16.33,80.3,6,6,69.9
412298,https://www.vinted.co.uk/items/9935112496-joules-gilet-padded?referrer=catalog,Joules gilet padded,Joules,womens_outerwear,Very good,S / UK 8-10,4.5,18.44,13.94,75.6,4.8,27,69.8
549101,https://www.vinted.co.uk/items/9954651930-brown-vintage-jacket-khaki-tan-uk-810?referrer=catalog,Brown vintage jacket  – khaki tan – UK 8/10,Vintage Dressing,womens_outerwear,Very good,S / UK 8-10,11.0,38.8,27.8,71.6,3.8,28,69.8
533198,https://www.vinted.co.uk/items/9961550292-nike-astro-trainers?referrer=catalog,Nike Astro trainers,Nike,shoes,Very good,6,6.0,26.26,20.26,77.2,5.2,39,69.8
280682,https://www.vinted.co.uk/items/9865329735-adidas-quarter-zip?referrer=catalog,Adidas Quarter Zip,adidas,activewear,Good,M,6.0,23.0,17.0,73.9,4.4,13,69.7
432269,https://www.vinted.co.uk/items/9931567677-adidas-long-sleeve-blue-track-top-mens-m?referrer=catalog,Adidas long sleeve blue track top Men’s M,adidas,activewear,Good,M,6.0,23.0,17.0,73.9,4.4,13,69.7
533649,https://www.vinted.co.uk/items/9960677842-crusaders-top-m?referrer=catalog,Crusaders top M,adidas,activewear,Good,M,6.0,23.0,17.0,73.9,4.4,13,69.7
495600,https://www.vinted.co.uk/items/9950336619-boys-green-nike-shorts?referrer=catalog,Boys Green Nike Shorts,Nike,activewear,New with tags,L,6.0,25.5,19.5,76.5,5.1,8,69.6
34269,https://www.vinted.co.uk/items/9815166510-adidas-originals-trefoil-hoodie?referrer=catalog,Adidas Originals Trefoil Hoodie,adidas,jumpers_and_sweaters,Very good,M,4.0,17.48,13.48,77.1,5.3,27,69.5
